x		y		z		r		p		y		xdot	ydot	zdot	rdot	pdot	ydot	xddot	yddot	zddot	rddot	pddot	yddot
612.02 273.51 0.61 3.10 0.00 1.84 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
623.88 255.16 0.61 3.10 0.00 1.84 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
623.88 255.16 0.61 3.10 0.00 1.84 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
632.07 258.24 0.61 3.10 0.00 1.84 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
632.07 258.24 0.61 3.10 0.00 1.84 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
639.05 259.64 0.61 3.10 0.00 1.84 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
652.86 241.41 0.61 3.10 0.00 1.84 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
652.86 241.41 0.61 3.10 0.00 1.84 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
671.83 250.87 0.61 3.10 0.00 1.84 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
683.00 276.07 0.61 3.10 0.00 1.84 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
683.00 276.07 0.61 3.10 0.00 1.84 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
681.99 248.58 0.61 3.10 0.00 1.84 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
697.25 239.06 0.61 3.10 0.00 1.84 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
697.25 239.06 0.61 3.10 0.00 1.84 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
713.48 253.07 0.61 3.10 0.00 1.84 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
716.98 265.31 0.61 3.10 0.00 1.84 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
716.98 265.31 0.61 3.10 0.00 1.84 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
722.93 255.22 0.61 3.10 0.00 1.84 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
722.93 255.22 0.61 3.10 0.00 1.84 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
751.89 265.27 0.61 3.10 0.00 1.84 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
751.89 265.27 0.61 3.10 0.00 1.84 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
766.91 273.48 0.61 3.10 0.00 1.84 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
